google-symbols,hfpxzc href,jHLihd,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (2),W4Efsd (3),W4Efsd (4),W4Efsd (5),W4Efsd (6),UsdlK,lcr4fd href,Cw1rxd,R8c4Qb,Cw1rxd (2),R8c4Qb (2),ah5Ghc,M4A5Cf,ah5Ghc (2),bm892c href,LDHnMb,c2ePGf,NlVald
,https://www.google.com/maps/place/%E4%BD%B6%E5%AE%B6%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99%E8%A1%8C%EF%BC%88SAKURA+%E6%AB%BB%E8%8A%B1%E7%86%B1%E6%B0%B4%E5%99%A8+%E6%B2%B9%E7%85%99%E6%A9%9F+%E7%93%A6%E6%96%AF%E7%88%90+CAESAR+%E5%87%B1%E6%92%92%E8%A1%9B%E6%B5%B4+OVO%E4%BA%AC%E5%85%B8%E8%A1%9B%E6%B5%B4+TOTO+%E8%88%9E%E5%85%89%EF%BC%89/data=!4m7!3m6!1s0x3442a9c4bcaa3365:0xf89f386f854802fd!8m2!3d25.0088882!4d121.5077081!16s%2Fg%2F1pzsgx4pg!19sChIJZTOqvMSpQjQR_QJIhW84n_g?authuser=0&hl=zh-TW&rclk=1,,佶家水電材料行（SAKURA 櫻花熱水器 油煙機 瓦斯爐 CAESAR 凱撒衛浴 OVO京典衛浴 TOTO 舞光）,4.8,(171),水匠,·,永貞路397號,即將打烊,：18:30 · 開始營業時間：週二08:00,·,02 2920 6156,,,規劃路線,,,來店取貨,·,外送,,,,
,https://www.google.com/maps/place/%E4%BD%B3%E8%88%88%E6%B0%B4%E9%9B%BB%E8%A1%8C%EF%BC%88%E8%8E%8A%E9%A0%AD%E5%8C%97%E8%81%B7%E4%BA%BA%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442a9ec0ebc8b8b:0xf6e38f32aea16d32!8m2!3d25.01123!4d121.5201881!16s%2Fg%2F1pzthfxn_!19sChIJi4u8DuypQjQRMm2hrjKP4_Y?authuser=0&hl=zh-TW&rclk=1,,佳興水電行（莊頭北職人店）,3.3,(48),商店,·,竹林路129號,,,,02 8928 0363,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E9%95%B7%E5%BB%A3%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442ab0059b5a9cd:0x14e057c916f0093!8m2!3d25.027248!4d121.5398372!16s%2Fg%2F11yknq96pw!19sChIJzam1WQCrQjQRkwBvkXwFTgE?authuser=0&hl=zh-TW&rclk=1,,長廣水電行,4.3,(6),水電承辦商,·,瑞安街244巷19-21號,·,營業中,· 打烊時間：21:00,0922 098 085,https://line.me/ti/p/Wx-3y7FBXU,,網站,,規劃路線,線上估價服務,,,,,,
,https://www.google.com/maps/place/%E6%BC%AB%E5%A4%9A%E4%BD%B3%E6%B0%B4%E9%9B%BB/data=!4m7!3m6!1s0x3442a9e48f221b15:0x2d24b6cc8ea07fb8!8m2!3d24.9997014!4d121.5231794!16s%2Fg%2F11c1wx5t_c!19sChIJFRsij-SpQjQRuH-gjsy2JC0?authuser=0&hl=zh-TW&rclk=1,,漫多佳水電,4.8,(266),水匠,·,得和路309號1樓,營業中,· 打烊時間：20:30,·,0918 636 188,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E5%8D%94%E8%B1%90%E4%BA%94%E9%87%91%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/data=!4m7!3m6!1s0x3442a9a7efccbbc5:0xdd4910049f03c94a!8m2!3d25.0399094!4d121.5036385!16s%2Fg%2F1pzr5b6sd!19sChIJxbvM76epQjQRSskDnwQQSd0?authuser=0&hl=zh-TW&rclk=1,,協豐五金水電材料有限公司,3.9,(38),水管用品店,·,貴陽街二段95號1樓,營業中,· 打烊時間：20:00,·,02 2331 0352,,,規劃路線,,,店內購物,·,外送,,,,
,https://www.google.com/maps/place/%E9%BE%8D%E5%8B%9D%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442abd7749e84bf:0x69817896c8c1368f!8m2!3d25.0410705!4d121.5404391!16s%2Fg%2F1pzs0p79j!19sChIJv4SedNerQjQRjzbByJZ4gWk?authuser=0&hl=zh-TW&rclk=1,,龍勝水電行,4.4,(39),水電承辦商,·,忠孝東路三段216巷3弄10號正義國宅內江蘇韭菜盒旁1樓,營業中,· 打烊時間：20:30,·,02 2721 6351,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E8%99%B9%E9%81%94%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a9bf847a7ef7:0xe8e5e233cd385c9a!8m2!3d25.017278!4d121.511436!16s%2Fg%2F11hctgp_t9!19sChIJ9356hL-pQjQRmlw4zTPi5eg?authuser=0&hl=zh-TW&rclk=1,,虹達水電行,4.6,(10),水電承辦商,·,環河西路一段95巷20號,營業中,· 打烊時間：21:00,·,02 2928 7630,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E4%BD%91%E6%88%90%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a9b1d9e216cf:0xc0e513d219e12d2d!8m2!3d25.0097355!4d121.5221245!16s%2Fg%2F11tj8_p34y!19sChIJzxbi2bGpQjQRLS3hGdIT5cA?authuser=0&hl=zh-TW&rclk=1,,佑成水電行,5.0,(1),水電承辦商,·,竹林路201巷33號1 樓,營業中,· 打烊時間：20:00,·,02 8925 7280,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E8%97%8D%E6%A3%AE%E6%B0%B4%E9%9B%BB%E8%A1%8C%EF%BC%88%E6%88%90%E5%8A%9F%EF%BC%89/data=!4m7!3m6!1s0x3442a985aba95851:0xf866a30268b4603a!8m2!3d25.0252252!4d121.5447585!16s%2Fg%2F11cspx1jjf!19sChIJUVipq4WpQjQROmC0aAKjZvg?authuser=0&hl=zh-TW&rclk=1,,藍森水電行（成功）,5.0,(4),水電承辦商,·,和平東路二段 283巷15弄5號 號,營業中,· 打烊時間：20:00,·,0927 915 539,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E5%9C%8B%E5%A4%AA%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a97c48853e95:0x2b721741c8d66d69!8m2!3d25.0405141!4d121.533537!16s%2Fg%2F1tgx4983!19sChIJlT6FSHypQjQRaW3WyEEXcis?authuser=0&hl=zh-TW&rclk=1,,國太水電行,4.1,(29),水管用品店,·,濟南路三段2號,即將打烊,：18:00 · 開始營業時間：週二08:30,·,02 2752 2730,,,規劃路線,,,來店取貨,,,,,,
,https://www.google.com/maps/place/%E6%99%9F%E5%8A%9F%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442abd2d03089ad:0xe11f9c62110a3375!8m2!3d25.0311181!4d121.5441949!16s%2Fg%2F1pzt__v3s!19sChIJrYkw0NKrQjQRdTMKEWKcH-E?authuser=0&hl=zh-TW&rclk=1,,晟功水電行,3.2,(81),水匠,·,瑞安街23巷3號1樓,營業中,,·,02 2702 4567,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E6%97%AD%E6%98%8E%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a98c71aa0adf:0xb122e1fd65eeb907!8m2!3d25.035076!4d121.5342841!16s%2Fg%2F11gzpdkhlw!19sChIJ3wqqcYypQjQRB7nuZf3hIrE?authuser=0&hl=zh-TW&rclk=1,,旭明水電行,2.6,(5),雜貨店,·,新生南路一段157巷11號,營業中,· 打烊時間：19:30,·,02 2706 3163,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E5%90%89%E5%88%A9%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a9ed10b4e7a9:0xbdc17089c94fbe16!8m2!3d25.0000267!4d121.5161437!16s%2Fg%2F11h7f7x8wy!19sChIJqee0EO2pQjQRFr5PyYlwwb0?authuser=0&hl=zh-TW&rclk=1,,吉利水電行,4.8,(52),水電承辦商,·,得和路60號,營業中,· 打烊時間：21:00,·,0932 303 104,,,規劃路線,,,,,,,,,
,https://www.google.com/maps/place/%E5%A4%A7%E9%A0%86%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x3442a90eb4be3cd9:0x231f5be1ae610dba!8m2!3d25.0452304!4d121.5071858!16s%2Fg%2F1pzsy2j61!19sChIJ2Ty-tA6pQjQRug1hruFbHyM?authuser=0&hl=zh-TW&rclk=1,,大順水電行,4.9,(62),浴室用品店,·,漢口街二段34巷8號,營業中,· 打烊時間：19:00,·,02 2314 4859,,,規劃路線,,,外送,,,,,,
